Название;"Старый URI";"Новый URI";"Ошибка (требует ручной настройки)"
"7-я международная торговая выставка дизайна, архитектуры, светотехнических и строительных технологий «Light+Building 2010» во Франкфурте";/about/news/7-ya-mezhdunarodnaya-torgovaya-vystavka-dizayna-arkhitektury-svetotekhnicheskikh-i-stroitelnykh-tekhnologiy-light-building-2010-vo-frankfurte.html;/novosti/7-ya-mezhdunarodnaya-torgovaya-vystavka-dizayna-arkhitektury-svetotekhnicheskikh-i-stroitelnykh-tekhnologiy-light-building-2010-vo-frankfurte;0
"АСК Домус поздравляет с 1 мая!";/about/news/ask-domus-pozdravlyaet-s-1-maya.html;/novosti/ask-domus-pozdravlyaet-s-1-maya;0
"АСК Домус поздравляет с 70-летием Победы в Великой Отечественной Войне";/about/news/ask-domus-pozdravlyaet-s-70-letiem-pobedy-v-velikoy-otechestvennoy-voyne.html;/novosti/ask-domus-pozdravlyaet-s-70-letiem-pobedy-v-velikoy-otechestvennoy-voyne;0
"АСК Домус поздравляет с 8 марта!";/about/news/ask-domus-pozdravlyaet-s-8-marta.html;/novosti/ask-domus-pozdravlyaet-s-8-marta;0
"Автономное отопление – капиллярные полы!";/about/news/avtonomnoe-otoplenie-kapillyarnye-poly.html;/novosti/avtonomnoe-otoplenie-kapillyarnye-poly;0
"Автономное отопление – капиллярные полы! Часть 2: Преимущества капиллярных теплых полов";/about/news/avtonomnoe-otoplenie-kapillyarnye-poly-chast-2-preimushchestva-kapillyarnykh-teplykh-polov.html;/novosti/avtonomnoe-otoplenie-kapillyarnye-poly-chast-2-preimushchestva-kapillyarnykh-teplykh-polov;0
"BENDYWOOD® предлагает гибкую древесину ";/about/news/bendywood-predlagaet-gibkuyu-drevesinu-.html;/novosti/bendywood-predlagaet-gibkuyu-drevesinu-;0
"Био-пена - повышает теплосберегающие характеристики ПВХ-профилей";/about/news/bio-pena-povyshaet-teplosberegayushchie-kharakteristiki-pvkh-profiley.html;/novosti/bio-pena-povyshaet-teplosberegayushchie-kharakteristiki-pvkh-profiley;0
"C Новым 2015 годом!";/about/news/c-novym-2015-godom.html;/novosti/c-novym-2015-godom;0
"C пришедшим новым 2014 годом!";/about/news/c-prishedshim-novym-2014-godom.html;/novosti/c-prishedshim-novym-2014-godom;0
"Danfoss Link - позволит сэкономить на отоплении дома";/about/news/danfoss-link-pozvolit-sekonomit-na-otoplenii-doma.html;/novosti/danfoss-link-pozvolit-sekonomit-na-otoplenii-doma;0
