Название;Старый URI;Новый URI;Ошибка (требует ручной настройки)
Аксессуары для стильной прихожей;/sovety/predmety-inter-era-dekor/aksessuary-dlya-stilnoy-prikhozhey.html;/sovety/dizayn-i-arhitektura/predmety-inter-era-dekor/aksessuary-dlya-stilnoy-prikhozhey;0
Ампир в интерьере;/sovety/napravlencheskie-stili/ampir-v-interere.html;/sovety/dizayn-i-arhitektura/stili-inter-era/napravlencheskie-stili/ampir-v-interere;0
Английский стиль - поистине королевская роскошь;/sovety/etnicheskie-stili/angliyskiy-stil-poistine-korolevskaya-roskosh.html;/sovety/dizayn-i-arhitektura/stili-inter-era/etnicheskie-stili/angliyskiy-stil-poistine-korolevskaya-roskosh;0
Архитектурные системы освещения;/sovety/osveschenie-i-elektrika/arkhitekturnye-sistemy-osveshcheniya.html;/sovety/inzhenernye-sistemy-i-seti/osveschenie-i-elektrika/arkhitekturnye-sistemy-osveshcheniya;0
Арки в домашнем интерьере;/sovety/predmety-inter-era-dekor/arki-v-domashnem-interere.html;/sovety/dizayn-i-arhitektura/predmety-inter-era-dekor/arki-v-domashnem-interere;0
Арки в интерьере квартиры;/sovety/predmety-inter-era-dekor/arki-v-interere-kvartiry.html;/sovety/dizayn-i-arhitektura/predmety-inter-era-dekor/arki-v-interere-kvartiry;0
Арт-деко – элегантное совершенство;/sovety/napravlencheskie-stili/art-deko-elegantnoe-sovershenstvo.html;/sovety/dizayn-i-arhitektura/stili-inter-era/napravlencheskie-stili/art-deko-elegantnoe-sovershenstvo;0
Арт техно – шаг навстречу будущему;/sovety/napravlencheskie-stili/art-tekhno-shag-navstrechu-budushchemu.html;/sovety/dizayn-i-arhitektura/stili-inter-era/napravlencheskie-stili/art-tekhno-shag-navstrechu-budushchemu;0
Авангард – непрекращающиеся эксперименты;/sovety/napravlencheskie-stili/avangard-neprekrashchayushchiesya-eksperimenty.html;/sovety/dizayn-i-arhitektura/stili-inter-era/napravlencheskie-stili/avangard-neprekrashchayushchiesya-eksperimenty;0
Авангардные конфорки – интересные элементы интерьера;/sovety/predmety-inter-era-dekor/avangardnye-konforki-interesnye-elementy-interera.html;/sovety/dizayn-i-arhitektura/predmety-inter-era-dekor/avangardnye-konforki-interesnye-elementy-interera;0
Беседка;/sovety/vspomogatel-nye-stroeniya/besedka.html;/sovety/kottedzhi-stroitel-stvo/vspomogatel-nye-stroeniya/besedka;0
Безрамное остекление балконов и лоджий;/sovety/okna-i-ostekleniya/bezramnoe-osteklenie-balkonov-i-lodzhiy.html;/sovety/otdelochnye-materialy/okna-i-ostekleniya/bezramnoe-osteklenie-balkonov-i-lodzhiy;0
Четко продуманный план ремонта квартиры убережет от неожиданностей;/sovety/vidy-i-poryadok-rabot/chetko-produmannyy-plan-remonta-kvartiry-uberezhet-ot-neozhidannostey.html;/sovety/remont-i-otdelka-c035e4f50f/vidy-i-poryadok-rabot/chetko-produmannyy-plan-remonta-kvartiry-uberezhet-ot-neozhidannostey;0
Что такое Фэн-Шуй?;/sovety/fen-shuy/chto-takoe-fen-shuy.html;/sovety/dizayn-i-arhitektura/fen-shuy/chto-takoe-fen-shuy;0
Что такое косметический ремонт квартир?;/sovety/kosmeticheskiy-i-kapital-nyy-remont/chto-takoe-kosmeticheskiy-remont-kvartir.html;/sovety/remont-i-otdelka-c035e4f50f/kosmeticheskiy-i-kapital-nyy-remont/chto-takoe-kosmeticheskiy-remont-kvartir;0
Что такое пристройка к дому?;/sovety/vspomogatel-nye-stroeniya/chto-takoe-pristroyka-k-domu.html;/sovety/kottedzhi-stroitel-stvo/vspomogatel-nye-stroeniya/chto-takoe-pristroyka-k-domu;0
Декорирование стен в прихожей;/sovety/stenovye-i-dorozhnye-materialy/dekorirovanie-sten-v-prikhozhey.html;/sovety/otdelochnye-materialy/stenovye-i-dorozhnye-materialy/dekorirovanie-sten-v-prikhozhey;0
Демонтажные работы, реконструкция;/sovety/pereplanirovka-i-soglasovanie/demontazhnye-raboty-rekonstruktsiya.html;/sovety/remont-i-otdelka-c035e4f50f/pereplanirovka-i-soglasovanie/demontazhnye-raboty-rekonstruktsiya;0
Десять причин заказать дизайн проекты жилых домов;/sovety/proektirovanie-c035e95139/desyat-prichin-zakazat-dizayn-proekty-zhilykh-domov.html;/sovety/kottedzhi-stroitel-stvo/proektirovanie-c035e95139/desyat-prichin-zakazat-dizayn-proekty-zhilykh-domov;0
